product,bidprice1,position1,bidprice2,position2,bidprice3,position3,bidprice4,position4,bidprice5,position5,offerprice1,position1,offerprice2,position2,offerprice3,position3,offerprice4,position4,offerprice5,position5
99-23+,1000000,99-151,2000000,99-215,3000000,99-265,4000000,99-013,5000000,99-010,1000000,99-301,2000000,99-082,3000000,99-076,4000000,99-025,5000000,
99-312,1000000,99-071,2000000,99-031,3000000,99-210,4000000,99-240,5000000,99-171,1000000,99-121,2000000,99-066,3000000,99-141,4000000,99-16+,5000000,
99-251,1000000,99-312,2000000,99-052,3000000,99-123,4000000,99-207,5000000,99-050,1000000,99-106,2000000,99-091,3000000,99-021,4000000,99-266,5000000,
99-023,1000000,99-176,2000000,99-312,3000000,99-095,4000000,99-302,5000000,99-006,1000000,99-18+,2000000,99-311,3000000,99-067,4000000,99-096,5000000,
100-136,1000000,100-03+,2000000,100-081,3000000,100-300,4000000,100-293,5000000,100-023,1000000,100-311,2000000,100-07+,3000000,100-15+,4000000,100-055,5000000,
99-081,1000000,99-095,2000000,99-07+,3000000,99-146,4000000,99-220,5000000,99-283,1000000,99-085,2000000,99-306,3000000,99-183,4000000,99-177,5000000,
99-163,1000000,99-216,2000000,99-126,3000000,99-070,4000000,99-195,5000000,99-166,1000000,99-026,2000000,99-272,3000000,99-061,4000000,99-11+,5000000,
100-167,1000000,100-160,2000000,100-07+,3000000,100-062,4000000,100-212,5000000,100-270,1000000,100-193,2000000,100-06+,3000000,100-212,4000000,100-305,5000000,
100-092,1000000,100-013,2000000,100-290,3000000,100-150,4000000,100-222,5000000,100-27+,1000000,100-255,2000000,100-195,3000000,100-16+,4000000,100-26+,5000000,
100-063,1000000,100-193,2000000,100-111,3000000,100-166,4000000,100-12+,5000000,100-03+,1000000,100-196,2000000,100-05+,3000000,100-176,4000000,100-105,5000000,
99-210,1000000,99-107,2000000,99-310,3000000,99-29+,4000000,99-13+,5000000,99-257,1000000,99-252,2000000,99-28+,3000000,99-010,4000000,99-13+,5000000,
100-003,1000000,100-040,2000000,100-067,3000000,100-21+,4000000,100-162,5000000,100-136,1000000,100-131,2000000,100-075,3000000,100-170,4000000,100-301,5000000,
100-130,1000000,100-011,2000000,100-071,3000000,100-055,4000000,100-31+,5000000,100-247,1000000,100-212,2000000,100-006,3000000,100-30+,4000000,100-171,5000000,
100-197,1000000,100-197,2000000,100-193,3000000,100-003,4000000,100-107,5000000,100-302,1000000,100-155,2000000,100-153,3000000,100-015,4000000,100-142,5000000,
99-057,1000000,99-106,2000000,99-075,3000000,99-016,4000000,99-056,5000000,99-201,1000000,99-001,2000000,99-18+,3000000,99-09+,4000000,99-131,5000000,
100-236,1000000,100-063,2000000,100-290,3000000,100-060,4000000,100-110,5000000,100-010,1000000,100-013,2000000,100-082,3000000,100-021,4000000,100-200,5000000,
100-177,1000000,100-080,2000000,100-132,3000000,100-095,4000000,100-061,5000000,100-252,1000000,100-27+,2000000,100-282,3000000,100-157,4000000,100-245,5000000,
99-217,1000000,99-217,2000000,99-00+,3000000,99-135,4000000,99-201,5000000,99-113,1000000,99-051,2000000,99-085,3000000,99-221,4000000,99-297,5000000,
100-210,1000000,100-001,2000000,100-007,3000000,100-14+,4000000,100-27+,5000000,100-272,1000000,100-102,2000000,100-157,3000000,100-287,4000000,100-057,5000000,
99-272,1000000,99-271,2000000,99-00+,3000000,99-063,4000000,99-177,5000000,99-162,1000000,99-166,2000000,99-217,3000000,99-037,4000000,99-302,5000000,
100-160,1000000,100-270,2000000,100-013,3000000,100-090,4000000,100-106,5000000,100-096,1000000,100-071,2000000,100-010,3000000,100-17+,4000000,100-13+,5000000,
99-301,1000000,99-03+,2000000,99-240,3000000,99-312,4000000,99-035,5000000,99-157,1000000,99-070,2000000,99-257,3000000,99-29+,4000000,99-073,5000000,
99-315,1000000,99-097,2000000,99-251,3000000,99-206,4000000,99-00+,5000000,99-056,1000000,99-020,2000000,99-022,3000000,99-133,4000000,99-22+,5000000,
99-270,1000000,99-153,2000000,99-021,3000000,99-305,4000000,99-290,5000000,99-043,1000000,99-311,2000000,99-300,3000000,99-116,4000000,99-223,5000000,
100-031,1000000,100-210,2000000,100-243,3000000,100-126,4000000,100-111,5000000,100-14+,1000000,100-280,2000000,100-106,3000000,100-295,4000000,100-201,5000000,
99-207,1000000,99-135,2000000,99-040,3000000,99-216,4000000,99-100,5000000,99-280,1000000,99-222,2000000,99-117,3000000,99-116,4000000,99-171,5000000,
100-292,1000000,100-102,2000000,100-302,3000000,100-131,4000000,100-08+,5000000,100-246,1000000,100-256,2000000,100-152,3000000,100-310,4000000,100-20+,5000000,
99-215,1000000,99-280,2000000,99-246,3000000,99-262,4000000,99-271,5000000,99-007,1000000,99-283,2000000,99-296,3000000,99-091,4000000,99-202,5000000,
100-18+,1000000,100-263,2000000,100-231,3000000,100-063,4000000,100-003,5000000,100-033,1000000,100-255,2000000,100-080,3000000,100-131,4000000,100-105,5000000,
100-185,1000000,100-105,2000000,100-26+,3000000,100-097,4000000,100-293,5000000,100-211,1000000,100-052,2000000,100-123,3000000,100-245,4000000,100-233,5000000,
99-267,1000000,99-040,2000000,99-182,3000000,99-216,4000000,99-046,5000000,99-287,1000000,99-315,2000000,99-037,3000000,99-222,4000000,99-01+,5000000,
100-20+,1000000,100-171,2000000,100-245,3000000,100-143,4000000,100-19+,5000000,100-002,1000000,100-007,2000000,100-296,3000000,100-155,4000000,100-191,5000000,
100-081,1000000,100-125,2000000,100-106,3000000,100-135,4000000,100-140,5000000,100-041,1000000,100-110,2000000,100-230,3000000,100-135,4000000,100-260,5000000,
100-142,1000000,100-311,2000000,100-28+,3000000,100-225,4000000,100-141,5000000,100-165,1000000,100-316,2000000,100-17+,3000000,100-051,4000000,100-187,5000000,
100-06+,1000000,100-062,2000000,100-033,3000000,100-25+,4000000,100-166,5000000,100-181,1000000,100-20+,2000000,100-025,3000000,100-120,4000000,100-301,5000000,
100-243,1000000,100-163,2000000,100-027,3000000,100-222,4000000,100-083,5000000,100-285,1000000,100-236,2000000,100-236,3000000,100-183,4000000,100-186,5000000,
99-061,1000000,99-306,2000000,99-260,3000000,99-135,4000000,99-232,5000000,99-107,1000000,99-026,2000000,99-120,3000000,99-147,4000000,99-160,5000000,
99-283,1000000,99-312,2000000,99-310,3000000,99-292,4000000,99-25+,5000000,99-270,1000000,99-061,2000000,99-292,3000000,99-050,4000000,99-280,5000000,
100-107,1000000,100-030,2000000,100-252,3000000,100-142,4000000,100-102,5000000,100-041,1000000,100-307,2000000,100-033,3000000,100-013,4000000,100-310,5000000,
100-261,1000000,100-245,2000000,100-021,3000000,100-285,4000000,100-292,5000000,100-196,1000000,100-295,2000000,100-301,3000000,100-161,4000000,100-301,5000000,
100-26+,1000000,100-075,2000000,100-311,3000000,100-25+,4000000,100-177,5000000,100-242,1000000,100-080,2000000,100-175,3000000,100-005,4000000,100-122,5000000,
99-18+,1000000,99-201,2000000,99-166,3000000,99-037,4000000,99-035,5000000,99-013,1000000,99-295,2000000,99-010,3000000,99-267,4000000,99-170,5000000,
100-292,1000000,100-05+,2000000,100-155,3000000,100-051,4000000,100-040,5000000,100-307,1000000,100-282,2000000,100-306,3000000,100-223,4000000,100-300,5000000,
99-157,1000000,99-042,2000000,99-206,3000000,99-31+,4000000,99-26+,5000000,99-052,1000000,99-111,2000000,99-295,3000000,99-192,4000000,99-147,5000000,
99-17+,1000000,99-247,2000000,99-200,3000000,99-027,4000000,99-247,5000000,99-207,1000000,99-152,2000000,99-206,3000000,99-316,4000000,99-256,5000000,
